sequencing_batch_id	species_code	era	site_id	match_id	collection_year_start	sequencing_type	#_of_individuals	seq_run_number	seq_complete?	hpc_name	hpc_path	read_length	project_owner	data_uploaded_by	geome_expedition_name	geome_expedition_guid	ncbi_bioproject_accession_number	ncbi_biosample_accession_number	ncbi_project_title	ncbi_data_public?	sequencing_notes	bioinformatics_notes
Abu_APnd_1909_LCWGS_1	Abu	A	Pnd	Pand	1909	LCWGS	55	1	Yes	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_ambassis_buruensis_lcwgs/1st_sequencing_run	PE_150	see_notes	Mikaela Salvador	Abu_1909_CebuCity_Cebu_lcwgs	https://n2t.net/ark:/21547/GYl2	PRJNA1336322	NA	Ambassis_buruensis_1909_CebuCity_Cebu_lcwgs	No	mix of 3-6 species: A. buruensis, A. urotaenia, A. interrupta. see slack page. https://philippinespi-aqw9760.slack.com/archives/CT7B2AX7W/p1741204172250839.	NA
Abu_APnd_1909_LCWGS_2	Abu	A	Pnd	Pand	1909	LCWGS	48	2	Yes	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_ambassis_buruensis_lcwgs/2nd_sequencing_run	PE_150	see_notes	Mikaela Salvador	Abu_1909_CebuCity_Cebu_lcwgs	https://n2t.net/ark:/21547/GYl2	PRJNA1336322	NA	Ambassis_buruensis_1909_CebuMarket_Cebu_lcwgs	No	mix of 3-6 species: A. buruensis, A. urotaenia, A. interrupta. see slack page. https://philippinespi-aqw9760.slack.com/archives/CT7B2AX7W/p1741204172250839.	NA
Abu_CPnd_2021_LCWGS_1	Abu	C	Pnd	Pand	2021	LCWGS	64	1	Yes	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_ambassis_buruensis_lcwgs/1st_sequencing_run	PE_150	see_notes	Mikaela Salvador	Abu_2021_Getafe_Bohol_lcwgs	https://n2t.net/ark:/21547/GYr2	PRJNA1336836	NA	Ambassis_buruensis_2021_Getafe_Bohol_lcwgs	No	A. urotaenia. see slack page. https://philippinespi-aqw9760.slack.com/archives/CT7B2AX7W/p1741204172250839.	NA
Abu_CPnd_2021_LCWGS_2	Abu	C	Pnd	Pand	2021	LCWGS	48	2	Yes	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_ambassis_buruensis_lcwgs/2nd_sequencing_run	PE_150	see_notes	Mikaela Salvador	Abu_2021_Getafe_Bohol_lcwgs	https://n2t.net/ark:/21547/GYr2	PRJNA1336836	NA	Ambassis_buruensis_2021_Getafe_Bohol_lcwgs	No	A. urotaenia. see slack page. https://philippinespi-aqw9760.slack.com/archives/CT7B2AX7W/p1741204172250839.	NA
Abu_CPnd_1909_SSL_1	Abu	C	Pnd	Pand	1909	SSL	1	1	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/ambassis_buruensis	PE_150	see_notes	NA	NA	NA	NA	NA	NA	NA	was this 1909 or 2021? likely A. urotaenia. see slack page. https://philippinespi-aqw9760.slack.com/archives/CT7B2AX7W/p1741204172250839.	NA
Adu_AGui_1908_LCWGS_1	Adu	A	Gui	Guij	1908	LCWGS	49	1	NA	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_1908_CityofGuihulngan_NegrosOriental_lcwgs	https://n2t.net/ark:/21547/Gdi2	PRJNA1348150	NA	Doboatherina_duodecimalis_1908_CityofGuihulngan_NegrosOriental_lcwgs	NA	NA	NA
Adu_AHam_1908_LCWGS_1	Adu	A	Ham	HamC	1908	LCWGS	93	1	NA	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_1908_Nasugbu_Batangas_lcwgs	https://n2t.net/ark:/21547/Gdo2	PRJNA1348151	NA	Doboatherina_duodecimalis_1908_Nasugbu_Batangas_lcwgs	NA	NA	NA
Adu_AMat_1909_LCWGS_1	Adu	A	Mat	MatB	1909	LCWGS	85	1	NA	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_1909_Matnog_Sorsogon_lcwgs	https://n2t.net/ark:/21547/Gdu2	PRJNA1348152	NA	Doboatherina_duodecimalis_1909_Matnog_Sorsogon_lcwgs	NA	NA	NA
Adu_ASub_1908_LCWGS_1	Adu	A	Sub	SubB	1908	LCWGS	48	1	Yes	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_1908_Olongapo_Zambales_lcwgs	https://n2t.net/ark:/21547/GeG2	PRJNA1348174	NA	Doboatherina_duodecimalis_1908_Olongapo_Zambales_lcwgs	NA	NA	NA
Adu_ASub_1908_LCWGS_2	Adu	A	Sub	SubB	1908	LCWGS	48	2	Yes	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/2nd_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_1908_Olongapo_Zambales_lcwgs	https://n2t.net/ark:/21547/GeG2	PRJNA1348174	NA	Doboatherina_duodecimalis_1908_Olongapo_Zambales_lcwgs	NA	NA	NA
Adu_ASub_1908_LCWGS_3	Adu	A	Sub	SubB	1908	LCWGS	48	3	Yes	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/3rd_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_1908_Olongapo_Zambales_lcwgs	https://n2t.net/ark:/21547/GeG2	PRJNA1348174	NA	Doboatherina_duodecimalis_1908_Olongapo_Zambales_lcwgs	NA	NA	NA
Adu_ATag_1908_LCWGS_1	Adu	A	Tag	Tagb	1908	LCWGS	40	1	NA	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_1908_TagbilaranCity_Bohol_lcwgs	https://n2t.net/ark:/21547/GeM2	PRJNA1348179	NA	Doboatherina_duodecimalis_1908_TagbilaranCity_Bohol_lcwgs	NA	NA	NA
Adu_ATag_1908_LCWGS_4	Adu	A	Tag	Tagb	1908	LCWGS	40	4	NA	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/4th_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_1908_TagbilaranCity_Bohol_lcwgs	https://n2t.net/ark:/21547/GeM2	PRJNA1348179	NA	Doboatherina_duodecimalis_1908_TagbilaranCity_Bohol_lcwgs	NA	NA	NA
Adu_ATaw_1908_LCWGS_1	Adu	A	Taw	Tawi	1908	LCWGS	69	1	NA	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_1908_Bongao_Tawitawi_lcwgs	https://n2t.net/ark:/21547/GeT2	PRJNA1348148	NA	Doboatherina_duodecimalis_1908_Bongao_Tawi-tawi_lcwgs, Oct 23 '25	NA	NA	NA
Adu_CGal_2022_LCWGS_1	Adu	C	Gal	PGal	2022	LCWGS	64	1	NA	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_2018_PuertoGalera_OrientalMindoro_lcwgs	https://n2t.net/ark:/21547/GeZ2	PRJNA1348153	NA	Doboatherina_duodecimalis_2018_PuertoGalera_OrientalMindoro_lcwgs	NA	NA	NA
Adu_CGui_2021_LCWGS_1	Adu	C	Gui	Guij	2021	LCWGS	64	1	NA	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_2021_CityofGuihulngan_NegrosOriental_lcwgs	https://n2t.net/ark:/21547/Gef2	PRJNA1348159	NA	Doboatherina_duodecimalis_2021_CityofGuihulngan_NegrosOriental_lcwgs	NA	NA	NA
Adu_CHam_2019_LCWGS_1	Adu	C	Ham	HamC	2019	LCWGS	47	1	NA	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_2019_Nasugbu_Batangas_lcwgs	https://n2t.net/ark:/21547/Gel2	PRJNA1348154	NA	Doboatherina_duodecimalis_2019_Nasugbu_Batangas_lcwgs	NA	NA	NA
Adu_CMat_2017_LCWGS_1	Adu	C	Mat	MatB	2017	LCWGS	47	1	NA	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run	PE_150	Brendan_Reid	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adu_CSub_2019_LCWGS_1	Adu	C	Sub	SubB	2019	LCWGS	48	1	Yes	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_2019_Subic_Zambales_lcwgs	https://n2t.net/ark:/21547/Ger2	PRJNA1348155	NA	Doboatherina_duodecimalis_2019_Subic_Zambales_lcwgs	NA	NA	NA
Adu_CSub_2019_LCWGS_2	Adu	C	Sub	SubB	2019	LCWGS	48	2	Yes	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/2nd_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_2019_Subic_Zambales_lcwgs	https://n2t.net/ark:/21547/Ger2	PRJNA1348155	NA	Doboatherina_duodecimalis_2019_Subic_Zambales_lcwgs	NA	NA	NA
Adu_CSub_2019_LCWGS_3	Adu	C	Sub	SubB	2019	LCWGS	48	3	Yes	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/3rd_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_2019_Subic_Zambales_lcwgs	https://n2t.net/ark:/21547/Ger2	PRJNA1348155	NA	Doboatherina_duodecimalis_2019_Subic_Zambales_lcwgs	NA	NA	NA
Adu_CTag_2021_LCWGS_1	Adu	C	Tag	Tagb	2021	LCWGS	64	1	NA	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_2021_TagbilaranCity_Bohol_lcwgs	https://n2t.net/ark:/21547/Gex2	PRJNA1348160	NA	Doboatherina_duodecimalis_2021_TagbilaranCity_Bohol_lcwgs	NA	NA	NA
Adu_CTag_2021_LCWGS_4	Adu	C	Tag	Tagb	2021	LCWGS	48	4	NA	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/4th_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_2021_TagbilaranCity_Bohol_lcwgs	https://n2t.net/ark:/21547/Gex2	PRJNA1348160	NA	Doboatherina_duodecimalis_2021_TagbilaranCity_Bohol_lcwgs	NA	NA	NA
Adu_CTaw_2021_LCWGS_1	Adu	C	Taw	Tawi	2021	LCWGS	64	1	NA	wahab.hpc.odu.edu	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run	PE_150	Brendan_Reid	Jason Selwyn	Adu_2021_Bongao_Tawitawi_lcwgs	https://n2t.net/ark:/21547/GfD2	PRJNA1348156	NA	Doboatherina_duodecimalis_2021_Bongao_Tawi-tawi_lcwgs	NA	NA	NA
Aen_AHam_1908_CSSL_1	Aen	A	Ham	HamC	1908	CSSL	60	1	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/atherinomorus_endrachtensis	PE_150	Rene_Clark	Kyra_Fitz	Aen_1908_Nasugbu_Batangas	https://n2t.net/ark:/21547/FLX2	PRJNA990820	NA	Atherinomorus_endrachtensis_1908_Nasugbu_Batangas_CaptureSeq	Yes	NA	NA
Aen_CBat_2018_CSSL_1	Aen	C	Bat	HamC	2018	CSSL	95	1	Yes	wahab.hpc.odu.edu	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/atherinomorus_endrachtensis	PE_150	Rene_Clark	Kyra_Fitz	Aen_2018_Nasugbu_Batangas	https://n2t.net/ark:/21547/FLd2	PRJNA991591	NA	Atherinomorus_endrachtensis_2018_Nasugbu_Batangas_CaptureSeq	Yes	NA	NA
Hte-CTic_070_Ex2	Ako	C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PRJNA1052058	SAMN39830499	NA	No	denovo genome assembly	NA
