Species_valid_name	Lot_ID	Collection_site	Equivalent_Albatross_Site	Collection_Period	Individual_ID	New_USNM	USNM_Biorepository	Species_ID_method	Species_ID_person	Species_ID_notes	Notes	Species_ID_year	Species_ID_month	Species_ID_day	Species_ID_date_originallyEntered
Ambassis_buruensis	180038	Port_Dupon	Port_Dupon	Albatross	Abu-ADup_001	452773	AJ2OI07	NA	NA	NA	NA	NA	NA	NA	NA
Ambassis_buruensis	180038	Port_Dupon	Port_Dupon	Albatross	Abu-ADup_002	452774	AJ2OI08	NA	NA	NA	NA	NA	NA	NA	NA
Ambassis_buruensis	180038	Port_Dupon	Port_Dupon	Albatross	Abu-ADup_003	452775	AJ2OI09	NA	NA	NA	NA	NA	NA	NA	NA
Ambassis_buruensis	180038	Port_Dupon	Port_Dupon	Albatross	Abu-ADup_004	452776	AJ2OI10	NA	NA	NA	NA	NA	NA	NA	NA
Ambassis_buruensis	180038	Port_Dupon	Port_Dupon	Albatross	Abu-ADup_005	452777	AJ2OI11	NA	NA	NA	NA	NA	NA	NA	NA
Ambassis_buruensis	180038	Port_Dupon	Port_Dupon	Albatross	Abu-ADup_006	452778	AJ2OI12	NA	NA	NA	NA	NA	NA	NA	NA
Ambassis_buruensis	180038	Port_Dupon	Port_Dupon	Albatross	Abu-ADup_007	452779	AJ2OI13	NA	NA	NA	NA	NA	NA	NA	NA
Ambassis_buruensis	180038	Port_Dupon	Port_Dupon	Albatross	Abu-ADup_008	452780	AJ2OI14	NA	NA	NA	NA	NA	NA	NA	NA
Ambassis_buruensis	180038	Port_Dupon	Port_Dupon	Albatross	Abu-ADup_009	452781	AJ2OI15	NA	NA	NA	NA	NA	NA	NA	NA
Ambassis_buruensis	180038	Port_Dupon	Port_Dupon	Albatross	Abu-ADup_010	452782	AJ2OI16	NA	NA	NA	NA	NA	NA	NA	NA
Ambassis_buruensis	180038	Port_Dupon	Port_Dupon	Albatross	Abu-ADup_011	452783	AJ2OI17	NA	NA	NA	NA	NA	NA	NA	NA
